op,description
abs(x),"Take absolute value of the input of x, element-wise."
acos(x),Take arc cos of input x.
acosh(x),Take arc cosh of input x.
"add(lhs, rhs)",Addition with auto-broadcasting
"adv_index(data, indices)",Numpy style indexing with tensors.
"all(data[, axis, keepdims])",Logical AND of array elements over a given axis or a list of axes
"any(data[, axis, keepdims])",Logical OR of array elements over a given axis or a list of axes
"arange(start[, stop, step, dtype])",Creates a tensor with evenly spaced values within a given interval.
"argmax(data[, axis, keepdims, select_last_index])",Returns the indices of the maximum values along an axis.
"argmin(data[, axis, keepdims, select_last_index])",Returns the indices of the minimum values along an axis.
"argsort(data[, valid_count, axis, ...])",Performs sorting along the given axis and returns an array of indices having the same shape as an input array that index data in sorted order.
"argwhere(output_shape, condition)",Find the indices of elements of a tensor that are non-zero.
asin(x),Take arc sin of input x.
asinh(x),Take arc sinh of input x.
atan(x),Take atan of input x.
atanh(x),Take atanh of input x.
"binary_search(ib, sequence_offset, ...)",Common IR generator for binary search used by CPU and GPU backends.
"bitwise_and(lhs, rhs)",Compute element-wise bitwise and of data.
bitwise_not(data),Compute element-wise bitwise not of data.
"bitwise_or(lhs, rhs)",Compute element-wise bitwise or of data.
"bitwise_xor(lhs, rhs)",Compute element-wise bitwise xor of data.
"broadcast_to(data, shape)",Broadcast the src to the target shape
"cast(x, dtype[, span])",Cast input to specified data type.
ceil(x),Take ceil of input x.
ceil_log2(x),Compute integer ceil log2 with a special code path for vulkan SPIR-V does not support log2 on fp64.
"clip(x, a_min, a_max)",Clip (limit) the values in an array.
"collapse_sum(data, target_shape)",Return a summation of data to the given shape.
"concatenate(a_tuple[, axis])",Join a sequence of arrays along an existing axis.
"const_vector(vector[, name])",convert a const numpy 1-dimensional vector to tvm tensor
cos(x),Take cos of input x.
cosh(x),Take cosh of input x.
"cumprod(data[, axis, dtype, exclusive])",Numpy style cumprod op.
"cumsum(data[, axis, dtype, exclusive])",Numpy style cumsum op.
"decl_buffer(shape[, dtype, name, data, ...])",Declare a new symbolic buffer.
"dft(re_data, im_data, inverse)",Computes the discrete Fourier transform of input (calculation along the last axis).
"div(a, b[, span])",Compute a / b as in C/C++ semantics.
"divide(lhs, rhs)",Division with auto-broadcasting
"dynamic_strided_slice(a, begin, end, ...)",Slice of an array.
"einsum(subscripts, *operand)",Evaluates the Einstein summation convention on the operands.
elemwise_sum(xs),Perform element-wise sum on inputs
"equal(lhs, rhs)",Compute (lhs==rhs) with auto-broadcasting
erf(x),Take gauss error function of input x.
"erf_legalize(attrs, inputs, types)",Legalizes ERF op.
exp(x),Take exponential of input x.
"expand_dims(a, axis[, num_newaxis])",Expand the shape of an array.
"expand_like(a, shape_like, axis)",Expand an input array with the shape of second array.
"extern(shape, inputs, fcompute[, name, ...])",Compute several tensors via an extern function.
fast_erf(x),Take gauss error function of input x using fast_erf implementation.
fast_exp(x),Take exponential of input x using fast_exp implementation
fast_tanh(x),Take hyperbolic tangent of input x using fast_tanh implementation
"fixed_point_multiply(x, multiplier, shift)","Fixed point multiplication between data and a fixed point constant expressed as multiplier * 2^(-shift), where multiplier is a Q-number with 31 fractional bits"
"fixed_point_multiply_per_axis(x, y, lshift, ...)","Fixed point multiplication between data and a fixed point constant expressed as multiplier * 2^(-shift), where multiplier is a Q-number with 31 fractional bits"
"flip(a[, axis])",Flip/reverse elements of an array in a particular axis.
floor(x),Take floor of input x.
"floor_divide(lhs, rhs)",Floor division with auto-broadcasting
"floor_mod(lhs, rhs)",Floor modulus with auto-broadcasting
"floordiv(a, b[, span])",Compute the floordiv of two expressions.
"floormod(a, b[, span])",Compute the floormod of two expressions.
"full(shape, dtype, fill_value)",Fill tensor with fill_value
